Timestamp,WereYouEligibleToApplyForAnAugust2021St3Post,WhatIsYourAge,WhatIsYourSex,WhichRegionAreYouCurrentlyWorkingIn,WhatIsYourCurrentRole,HowManyYearsOfClinicalExperienceInAnaesthesiaWouldYouHaveCompletedByAugust2021,WhatIsYourCurrentContractedWorkingPattern,DidYouApplyForAnSt3AnaestheticsPostToCommenceInAugust2021,WereYouSuccessfulWithYourSt3ApplicationInThisApplicationRound,HaveYouAcceptedAnSt3AnaestheticsPostToCommenceInAugust2021,IfNotPleaseTellUsWhy,WhatWasYourReasonForNotApplying,AtTheTimeOfSt3ApplicationWereYouAwareOfThePlannedBreakInRecruitmentFromAugust2022,DidYouFeelTheEffectsOfCurriculumChangesOnRecruitmentWereWellExplainedToYouPriorToTheSt3ApplicationDeadline,WouldMoreInformationRegardingChangesToTheCurriculumAndRecruitmentHaveChangedYourDecisionNotToApply,WhatAreYourPotentialPlansForTheUpcoming1_2YearsSelectAllThatApply,DoYouFeelConfidentOrAssuredThatYouWillBeAbleToAchieveTheNecessaryCompetenciesToApplyForSt4InAugust2023,HasTheTimeOutOfATrainingProgrammeAffectedAnyOfYourWiderLifePlansEGMovingLocationFamilyPlanningBuyingAHouse,HowConfidentAreYouThatYouWillBeAbleToAchieveGmcRegistrationOnTheSpecialtyRegisterInAnaesthesiaWithoutATrainingNumber,WhatGeneralConcernsWouldYouLikeToShareWithUsRegardingThisYearsSt3ApplicationsIfThereAreSpecificPersonalCircumstancesYouAreHappyToShareWithTheRelevantStakeholdersPleaseFeelFreeToContributeThemHereWeMayPublishSomeOfTheseAsAnonymisedQuotesToConveyTheDepthOfFeelingAroundThisIssue,ID
2021-06-03T12:10:48Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529
2021-06-04T11:02:43Z,Yes,25-30,Male,Health Education London,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,Yes,Yes,Not confident,I feel the entire process has been poorly communicated and the implementation of this transition during the pandemic when training has already been affected will massively effect trainee well-being and drive people out of the specialty.,530
2021-06-06T14:47:05Z,Yes,25-30,Male,Health Education Yorkshire and the Humber,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,No,Not sure,NA,531
2021-06-06T20:28:07Z,Yes,36-40,Male,Health Education Thames Valley,Anaesthetic Core Trainee,2,LTFT,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532
2021-06-06T22:23:06Z,Yes,25-30,Male,NHS Education for Scotland,Anaesthetic Core Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Pursue training in a different specialty - specify below",No,Yes,Not confident,"My mental health has been severely affected. After covid and the stress of exams, it has been such a gut wrench to be cut adrift by the lack of jobs and the new curriculum changes",533
2021-06-09T15:36:14Z,Yes,31-35,Female,Health Education Yorkshire and the Humber,"Non-training Fellow, SAS or other Trust-Grade post",3,LTFT,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,The lack of training places and therefore competition for places was a huge concern this year and will continue into Feb recruitment. I think there has been a bit of discrepancy with the marking for organisation for self score between candidates; which for some people has been the difference between getting a job and not. The appeals process was also not acceptable. Causing lots of stress for people already struggling with a stressful application process. (although these did not affect me personally),534
2021-06-11T16:01:50Z,Yes,31-35,Female,"Health Education Kent, Surrey & Sussex","Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535
2021-06-11T16:02:07Z,Yes,31-35,Male,Health Education East of England,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Don't know,Yes,Not confident,NA,536
2021-06-11T16:02:13Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537
2021-06-11T16:03:12Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538
2021-06-11T16:03:32Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lack of early preparation, poor communication - mostly due to lack of preparation 
predictable scenario and will continue to be the case for years to come. 
More should have been done.",539
2021-06-11T16:03:58Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540
2021-06-11T16:04:06Z,Yes,25-30,Male,Health Education Thames Valley,Anaesthetic Core Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541
2021-06-11T16:05:19Z,Yes,25-30,Female,Health Education and Improvement Wales,"Non-training Fellow, SAS or other Trust-Grade post",3.5,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,High pressured stakes in terms of obtaining points and high pressured interview in terms of the short time of the interview to present myself as a good candidate,542
2021-06-11T16:06:18Z,Yes,31-35,Male,Health Education West Midlands,"Non-training Fellow, SAS or other Trust-Grade post",7,Full-time,Yes,Yes,No,Wasn’t offered a post,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Further education, e.g. pursue a higher degree",Yes,Yes,Not sure,"The interview process  is not fair, there should be standardisation of the process",543
2021-06-11T16:06:22Z,Yes,25-30,Male,Health Education South West (Peninsula & Severn),"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Only 2 interviewers rather than the previous 6 (2 on each station) meaning reduced number of opinion on a candidates employability 

Very drawn out process- initial applications around October/ November- only found out result in May.

Ineffective scoring matrix which doesn't focus on high quality anaesthetic and medical care delivery- should be more focus on MSF and colleague feedback",544
2021-06-11T16:07:27Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545
2021-06-11T16:08:12Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546
2021-06-11T16:09:54Z,Yes,25-30,Female,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",No,Yes,Not confident,"I have put aside big life decisions waiting on the geographical stability of an ST3 post. The pandemic, the change in the curriculum and the years long terrible workforce planning meant that I, and hundreds of others, are left hanging. The changes have been rushed through with very little thoughts spared for so many of us. I feel angry and let down by the College who has failed to advocate for us. After a very challenging 12 months we deserve better.",547
2021-06-11T16:11:09Z,Yes,31-35,Male,Health Education and Improvement Wales,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Work abroad",Yes,Yes,Not confident,I specifically withdrew from the process due to ill health so may not be wholly representative but that pressure of the high stakes nature of the process did not assist with my wellbeing.,548
2021-06-11T16:12:01Z,Yes,31-35,Male,Health Education South West (Peninsula & Severn),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549
2021-06-11T16:12:42Z,Yes,25-30,Male,NHS Education for Scotland,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,"Wanted to take a break from training, Wanted to pursue other interests or opportunities, e.g. research or management, etc.",Yes,No,Not sure,"CT3 top-up post, Non-training fellow post, ICM ST3 post, Further education, e.g. pursue a higher degree, Work abroad, Career break",Yes,No,Not sure,NA,550
2021-06-11T16:13:33Z,Yes,36-40,Male,Health Education North West (Mersey & North Western),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,The timings for the application and interview felt rushed and the scoring unrealistic,No,No,Not sure,CT3 top-up post,Yes,Don't know,Not sure,NA,551
2021-06-11T16:14:24Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anecdotally, it seems that core trainees who are excellent clinically have been overlooked at interview for those who have a raft of academic achievements but are unable to manage an obstetric haemorrhage. It seems to me that we haven't got the correct priorities",552
2021-06-11T16:16:49Z,Yes,25-30,Female,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553
2021-06-11T16:16:55Z,Yes,25-30,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554
2021-06-11T16:17:12Z,Yes,31-35,Female,Health Education East Midlands,"Non-training Fellow, SAS or other Trust-Grade post",2,LTFT,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,I know many colleagues who are excellent anaesthetists who were unsuccessful in gaining an ST3 post. Everyone including our consultants are disappointed and angry at the lack of jobs available.,555
2021-06-11T16:20:48Z,Yes,31-35,Male,NHS Education for Scotland,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,3,Full-time,Yes,Yes,No,Accepted ICM ST3,NA,NA,NA,NA,ICM ST3 post,No,Yes,Not confident,NA,556
2021-06-11T16:20:51Z,Yes,25-30,Male,Health Education North West (Mersey & North Western),Intensive Care Medicine Trainee,3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,ICM ST3 post,Yes,Yes,Not confident,"Although I am fortunate enough to have an ICM ST post, not having an anaesthetic post has prolonged my Stage 1 training. I will be unable to prolong it further to make it to the August 2023 intake for ST4. I am now faced with having to single-speciality in ICM, or progress to stage 2, having to repeat speciality placements when I get an anaesthetic job. This will further prolong my time in training. 

Another of my concerns has been the situation regarding the Primary FRCA and applications. I realise that it is unfair to candidates who had disruptions due to the pandemic, but it feels odd to be competing with people who have not passed the primary for a post where it is a requirement. Given how competitive the self assessment scores have been, it definitely feels that my time prepping for the exam could have been better spent in research/publication/presentation/ teaching. Guidance at the from my supervisors and college tutors was to focus on the exam, even to the point that study budget and study leave was restricted for non-primary topics. I feel like now this advice has not benefited my career progression.",557
2021-06-11T16:25:09Z,Yes,36-40,Male,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,3,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,"Undecided - not commutes to any of the options provided, considering options still",Don't know,Yes,Confident,"The remote portfolio combined with the oriel and rcoa self assessment criteria do not correlate. 

Not all assessors seem to fully understand what they are assessing and therefore do not award scores appropriately. I had to appeal my initial score and was successful in my appeal which was re-marked from a 1 to a 5 in one particular domain!

I was offered an interview but due to exams was not able to proceed. 

Further to that, there are these and other issues with how the current ST3 recruitment is being done in its watered down state, I'm not convinced you are recruiting the best candidates. Meanwhile the ST4 curriculum and subsequent recruitment process changes are being railroaded through, with a hiatus on higher recruitment to boot, seemingly without any real acknowledgment or proper insight of how it is going to affect a significant number of good potential anaesthetic candidates. People who have already demonstrated commitment to speciality and acquired the necessary skills and training. 

For these reasons I will be seriously considering all options in the coming 6 months including speciality change or even roles outside medicine.",558
2021-06-11T16:25:49Z,Yes,36-40,Male,Health Education and Improvement Wales,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559
2021-06-11T16:26:19Z,Yes,25-30,Female,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",3,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,ICM ST3 post,No,Yes,Not confident,NA,560
2021-06-11T16:34:13Z,Yes,25-30,Male,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,ICM ST3 post,Yes,Yes,Not confident,"CESR has a place in medical specialties for individual trainees who have gone off the 'standard' route through training/taken time out etc. If CESR starts being seriously suggested to CT2 anaesthetists who have been keen on the specialty since medical school and done all sorts of extra things around trying to get through training as efficiently as possible, there is something wrong with the system!",561
2021-06-11T16:49:03Z,Yes,25-30,Female,Health Education West Midlands,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,1.5,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unfair competition ratios,562
2021-06-11T16:53:48Z,Yes,25-30,Male,NHS Education for Scotland,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,No,NA,NA,NA,"Wanted to take a break from training, Wanted to explore another medical specialty other than anaesthesia, Wanted to pursue other interests or opportunities, e.g. research or management, etc., Personal reasons",Yes,No,No,"CT3 top-up post, Non-training fellow post",Yes,No,Not confident,NA,563
2021-06-11T17:00:05Z,Yes,25-30,Female,Health Education Thames Valley,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Further education, e.g. pursue a higher degree, Work abroad",Yes,Yes,Not confident,Unable to apply for mortgage as no work contract available greater than 1 year,564
2021-06-11T17:04:54Z,Yes,31-35,Female,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Don't know,Yes,Not sure,NA,565
2021-06-11T17:06:18Z,Yes,25-30,Female,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,6,Full-time,No,NA,NA,NA,"Lack of core experience due to the COVID-19 pandemic, Awareness of increased competition ratios and/or reduced CV opportunities during COVID, Wanted to take a break from training, Wanted to pursue other interests or opportunities, e.g. research or management, etc.",Yes,No,Yes,"CT3 top-up post, Non-training fellow post, ICM ST3 post, Career break",No,Yes,Not confident,Overwhelming competition for trust grade jobs and future st4 application,566
2021-06-11T17:14:49Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I'm an ACCS CT2 trainee so fortunately didn't have to apply this round. I'm left feeling completely disheartened though. It's difficult to feel motivated in training when there might not even be a job for me at the end of stage 1 training.,567
2021-06-11T17:18:59Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568
2021-06-11T17:22:24Z,Yes,31-35,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I personally feel there were more issues with the previous years recruitment. This year was not particularly different to the standard RCOA recruitment process (albeit with an online rather than in person interview), it was simply more competative. I applied for the August 2020 ST3 start and was not successful. I thought it was incredibly unfair that jobs were allocated purely based on an un-verified self assessment score.",569
2021-06-11T17:22:29Z,Yes,31-35,Male,Health Education North East,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, ICM ST3 post, Work abroad",Don't know,Yes,Not confident,"I was eligible to be interviewed both times ( feb and aug 2021) and have a well rounded portfolio I think . But despite that wasn't successful in getting a ST3 post, and the feedback from both times were “needs more interview practice “. I feel let down and unsure about the future in Anesthetics . If there is a face to face interview with clinical element to it or if the interviewers have our portfolio on the day of interview  I feel I might stand a chance else the future in Anesthetics looks bleak .",570
2021-06-11T17:24:24Z,Yes,36-40,Female,Health Education North West (Mersey & North Western),Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,Don't know,Yes,Not sure,"There is no part of the application process which considers how an applicant actually performs in their role. I wonder if referees should be invited to submit a grading of the applicant that would count towards points in the application. 
Most of the portfolio scores reward things undertaken 'since starting anaesthetics training'  hence rewarding candidates who chose to gain extra experience (eg abroad/in a different specialty) after completing core training rather than after foundation training before starting core.  I struggled to see the logic for this.",571
2021-06-11T17:24:45Z,Yes,31-35,Male,Outside UK,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Felt obliged to accept a lower ranked preference due to scarcity of posts meaning I have to compromise on quality of life to finish training. This has left a feeling of dissatisfaction due to having to accept a suboptimal job and overall means I am less likely to stay in the UK after CCT.,572
2021-06-11T17:26:02Z,Yes,31-35,Male,Health Education Thames Valley,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Become an Associate Specialist",Yes,Yes,Not sure,"That the situation will not improve - applicant numbers are only going to increase and if they don't increase the number of ST3/4 posts, this is going to keep happening. I also have concerns that online interviews with one panel are not the fairest way of selecting candidates. I was forced to take time out of training following CT2, due to personal circumstances, and now I feel further trapped in circumstances beyond my control. However, as long as the new curriculum can be fulfilled without a training number, people will just find their own way to consultancy. Otherwise I fear lots may leave anaesthesia altogether.",573
2021-06-11T17:26:35Z,Yes,25-30,Female,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Concerns with the portfolio system. Marks given were inconsistent between application rounds for the same evidence (this was my third application but my first to get an interview and the same evidence got different points on different rounds) and were also inconsistent between candidates for the same evidence. Colleagues who took part in the same project as me and submitted the same evidence were not awarded the points. Given the obvious subjectivity of this I would like to see an adequate standardisation and appeals process, however you are not allowed to appeal if there is less than a 5 point discrepancy. With competition so tight one point can make all the difference between getting a job or not so seems unfair. In addition there was inadequate guidance about the portfolio, for example I lost points for not including a CV as this was apparently required to 'prove' the duration of my additional degree and for the quality of my overall portfolio. However in the guidance they did give us they did not tell us to include a CV but did tell us to avoid any unnecessary documentation so many people kept additional documents to a minimum as directed.
Also the applicants significantly outnumbering the number of posts has been a problem for several years now, are we still recruiting the same number of CT1s now because that would also seem unfair if we know their won't be jobs for them.",574
2021-06-11T17:27:01Z,Yes,36-40,Male,Health Education North West (Mersey & North Western),"Non-training Fellow, SAS or other Trust-Grade post",11,Full-time,No,NA,NA,NA,"Awareness of increased competition ratios and/or reduced CV opportunities during COVID, Wanted to pursue other interests or opportunities, e.g. research or management, etc.",No,No,Yes,"Further education, e.g. pursue a higher degree, Work abroad, Permanently leaving the medical profession",Yes,Yes,Not confident,Many very good capable trainees have been left high and dry searching for employment with trusts as a result of poor planning from HEE and insufficient training posts. It is wholly concerning that an entire generation of very competent and capable anaesthetic trainees will be left looking at alternative employment and likely leave the profession to other areas and specialties due to this lack of foresight at a high level. Especially when middle grade anaesthetic Rotas are understaffed and haemorrhaging at the seems. A profession that has propped up the nation in its time of need has sadly been hung out to dry by HEE and the government.,575
2021-06-11T17:40:24Z,Yes,31-35,Male,Health Education London,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Don't know,Yes,Not sure,NA,576
2021-06-11T17:43:54Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I think it is very poor that a number of doctors in anaesthesia have sacrificed a great deal of general training time to cover ICUs and are then left stuck in limbo or in potentially service providing jobs only for yet another year, when we already know that anaesthetic consultants are in short supply at the end of training. The college should be pressing the government on this to create more training posts given how vital we were in the recent pandemic.",577
2021-06-11T17:50:36Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The criteria for scoring applicants seemed to disadvantage applicants who are clinically excellent and had focussed on their exam in favour of those with additional CV points,578
2021-06-11T17:52:57Z,Yes,31-35,Female,Health Education West Midlands,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,Yes,Not confident,I will have to spend further time in a very demanding rota due to lack of available fellow posts in the area.,579
2021-06-11T17:56:45Z,Yes,31-35,Male,Health Education North East,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580
2021-06-11T18:00:48Z,Yes,31-35,Male,Health Education London,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,Don't know,Yes,Not sure,NA,581
2021-06-11T18:05:35Z,Yes,31-35,Male,Health Education London,Anaesthetic Core Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,Yes,Yes,Confident,NA,582
2021-06-11T18:15:23Z,Yes,25-30,Female,Health Education East Midlands,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,Non-training fellow post,No,Yes,Not confident,NA,583
2021-06-11T18:33:43Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,It's a really tricky time.  I think HEE are at fault for not increasing numbers (in a sustainable way). I dont think the RCOA should have pushed through the new curriculum.,585
2021-06-11T18:52:27Z,Yes,25-30,Female,Health Education East Midlands,Anaesthetic Core Trainee,3,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,CT3 top-up post,Yes,Don't know,Not confident,"Too few seats, not very helpful feedback from the intervierwers. I felt like the selection criteria that the interviewers were holding candidates to was unattainable for somebody at core level. My feedback was along the lines of 'as expected' and 'typical for level' but it seems like being at a core trainee level is not enough to qualify for an ST3 post.",586
2021-06-11T19:04:18Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587
2021-06-11T19:07:32Z,Yes,25-30,Male,Health Education West Midlands,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"Non-training fellow post, Work abroad",Don't know,Yes,Not sure,NA,589
2021-06-11T19:20:05Z,Yes,31-35,Female,Health Education East Midlands,"Non-training Fellow, SAS or other Trust-Grade post",3,LTFT,No,NA,NA,NA,Awareness of increased competition ratios and/or reduced CV opportunities during COVID,Yes,Not sure,No,CT3 top-up post,Don't know,Yes,Not confident,NA,590
2021-06-11T19:20:12Z,Yes,36-40,Male,Health Education London,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591
2021-06-11T19:22:08Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592
2021-06-11T19:25:18Z,Yes,31-35,Female,Health Education North East,"Non-training Fellow, SAS or other Trust-Grade post",2.5,Full-time,No,NA,NA,NA,Hadn’t appreciated exam requirement had reduced.,Yes,No,Yes,"CT3 top-up post, Non-training fellow post, ICM ST3 post",No,Yes,Not confident,NA,593
2021-06-11T19:35:12Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594
2021-06-11T19:45:27Z,Yes,31-35,Female,Health Education East of England,"Non-training Fellow, SAS or other Trust-Grade post",5,"Not currently contracted, or working as a locum",No,NA,NA,NA,"Lack of core experience due to the COVID-19 pandemic, Awareness of increased competition ratios and/or reduced CV opportunities during COVID",No,No,Not sure,"Further education, e.g. pursue a higher degree, Locum",No,Don't know,Not confident,There is a national shortage of doctors. Anaesthetists have sacrificed training opportunities during this pandemic to assist in ITU. There is now a large number of competent anaesthetists who will not be employed causing a huge bottleneck in the system. Doctors are constantly being forced to move around the country. It's a slap in the face to trainees.,595
2021-06-11T19:48:57Z,Yes,31-35,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",4,Full-time,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post, Work abroad",Yes,Yes,Not confident,"1. Felt like there was a change in goal posts with the full primary FRCA no longer a pre requisite. With retrospect, if I had abandoned my successful attempt at OSCE/VIVA and presented a poster instead, I would likely have a job.
2. Seemingly no back up plan. Many trainees feel left behind. Presumably competition ratios will be the same if not higher for st4 in 2023.
3. Why must we wait until 2023 for next entry point?
4. I will have accrued 6 years out of training by 2023, as per the current person specification this would make me a much less attractive candidate. Seems unfair 
5. I imagine, like previous years, there will be many rota gaps in departments across the country. This will be extremely frustrating for trainees denied a number, who will likely pick up the slack of rota gaps 
6. When will there be information about Feb intake for st3? Would be useful to know ahead of time so that necessary preparations can be made.",596
2021-06-11T20:05:24Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outrageous the way the applicants were treated over the last years. And the decision to implement the generic test for CT1 is even worse,597
2021-06-11T20:10:49Z,Yes,31-35,Female,Health Education West Midlands,"Non-training Fellow, SAS or other Trust-Grade post",4,LTFT,Yes,No,NA,NA,NA,NA,NA,NA,"CT3 top-up post, Non-training fellow post",Yes,Yes,Not sure,Non training post puts me in low priority and provide me lowest opportunity to progress due to where I will be in terms or priority( non trainee) and experience (non SAS).,598
2021-06-11T20:46:01Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599
2021-06-11T20:50:23Z,Yes,25-30,Female,Health Education South West (Peninsula & Severn),Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
2021-06-11T21:33:50Z,Yes,25-30,Male,Health Education West Midlands,Acute Care Common Stem (ACCS) - Anaesthetics Trainee,2,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I received my offer a few weeks after close. The competition was fierce and after a year of reduced training and candidates going above and beyond it felt incredibly harsh to have such reduced training numbers for the number of candidates. Particularly given the workforce shortage predicted over the coming years.

Not only this but there's a significant discrepancy in recruitment to the core training and specialty training perpetuating an inevitable bottle neck at the entry to ST3. Consideration should be made to making anaesthesia a run-through programme.",601
2021-06-11T22:14:45Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602
2021-06-11T22:20:05Z,Yes,31-35,Female,Health Education London,"Non-training Fellow, SAS or other Trust-Grade post",3,Full-time,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Overall, I welcome the interview process as a healthy balance with which to offset the numerical self assessment: it enables candidates who are more clinical than academic to level the playing field, or candidates who are not driven by ""box-ticking"", but who might be very wholesome and balanced anaesthetists, to showcase themselves. 

However I worry that one interview with one panel leads to an increase in the subjectivity and ""luck"" of the process. 

I had an interview for the February 2021 intake, and my panel at the time scored me as being an ""average to poor"" candidate. This came as a horrible shock at the time - I was very well regarded at work by my seniors, peers and colleagues, but I acknowledge my interview technique lead to me not coming across as well as I could have. I recall ""not clicking"" with my interviewers in those first minutes (I had that feeling within a few minutes that my way of answering had irritated one of them). As my awareness of this increased, so I was losing confidence as the interview progressed (and exacerbating the problem). In short, it was a bad interview.

6 months down the line, with practice and training, I was re-interviewed for the August entry, and was marked out as an ""outstanding"" candidate. I clearly benefited from the hard work put into practicing - and am sure that was the key difference. 

I realise that the two interviewers on the panel mark separately, and would like to commend the efforts already made to make the process fair. 

However, this experience has led me to wonder if one interview leaves too much to subjectivity and chance for such a significant appointment. 6 months separated my two interviews, and although I worked hard on improving my technique, I had not fundamentally changed the content of my answers. I wonder whether there should be more than one interview such as in the face-to-face process: eg. one general interview, one clinical interview with two different consultants in each, in order to dilute individual interviewer subjectivity, and insodoing perhaps improve the accuracy with which they might measure a candidate's quality.",603
